,body_text,label
1001,martin adamson wrote isn t it just basically a mixture of beaten egg and bacon or pancetta really you mix in the raw egg to the cooked pasta and the heat of the pasta cooks the egg that s my understanding you re probably right mine s just the same but with the cream added to the eggs i guess i should try it without actually looking on the internet for a recipe i found this one from possibly one of the scariest people i ve ever seen and he s a us congressman that s one of the worst non smiles ever stew ps apologies if any of the list s maine residents voted for this man you won t do it again once you ve seen this pic stewart smith scottish microelectronics centre university of edinburgh http www ee ed ac uk sxs yahoo groups sponsor 4 dvds free s p join now http us click yahoo com pt6ybb nxieaa mg3haa 7gsolb tm to unsubscribe from this group send an email to forteana unsubscribe egroups com your use of yahoo groups is subject to http docs yahoo com info terms ,1
921,url http boingboing net 85505975 date not supplied img http www craphound com images electricball jpg stefan sez my brother s friend sue plays with high voltage the linked to page shows the gadget she used to photograph high voltage discharges in water link 1 discuss 2 thanks stefan 1 http community webshots com album 8426665gzkjeytine 2 http www quicktopic com boing h uzustbtspq7k ,1
1531,jm jmason org justin mason writes folks who ve been hacking on the dnsbls would it be worthwhile commenting this in head seeing as it only gets 77 anyway sounds like the a broken server and b low hitrate combine to make it not so useful imo no in my opinion it s purely a bug in sa or the libraries we use which is the same thing that we don t handle outages of network services better the rule is useful and it does help reduce spam we should keep it i have a feeling the dnsbl rules will cluster a bit more heavily around the 1 0 to 2 0 range once we start using the new ga on them also 0 77 was a slightly conservative number since i didn t have real time data i typically used the lower or median number of different periods most recent month two months six months depending on the trend of the period data better performance for recent messages favor recent scores worse performance for recent messages favor lowest scores never pick the highest number unless the rule was very accurate and the highest number was for the most recent data dan ,1
2019, cool i wonder what you d look like standing in front of a bunch of corporate executives http www technologyreview com articles wo hellweg080102 asp that s why for example orth is trying to catch the interest of the military with fabrics that change color when conductive fibers stitched into the cloth heat and cool the material s thermochromatic inks the army wants fully addressable interactive camouflage she says so that when you re standing in front of bricks your clothing looks like bricks when you re in grass you look like grass accomplishing that would be like a space program for e textiles ,1
1963,the scotsman thu 22 aug 2002 meaningful sentences tracey lawson if you ever wanted to look like one of the most dangerous inmates in prison history as one judge described charles bronson now s your chance bronson the serial hostage taker not the movie star has written a health and fitness guide in which he shares some of the secrets behind his legendary muscle power solitary fitness a title which bears testament to the fact that bronson 48 has spent 24 of his 28 prison years in solitary confinement explains how he has turned himself into a lean mean fitness machine while living 23 hours a day in a space just 12 feet by eight feet on a diet of scrubs grub and at virtually no cost the book is aimed at those who want to get fabulously fit without spending a fortune on gym memberships protein supplements or designer trainers and starts with a fierce attack on some of the expensive myths churned out by the exercise industry i pick up a fitness mag i start to laugh and i wipe my arse with it is the opening paragraph penned by bronson it s a joke and a big con and they call me a criminal you can t help feeling he has a point this is not the first book that bronson has written from behind bars having already published birdman opens his mind which features drawings and poems created by bronson while in prison and he is not the first prisoner to discover creative expression while residing at her majesty s pleasure jimmy boyle the scots sculptor and novelist discovered his artistic talents when he was sent to barlinnie prison s famous special unit which aimed to help inmates put their violent pasts behind them by teaching them how to express their emotions artistically boyle was sentenced to life for the murder of babs rooney in 1967 once released he moved to edinburgh where he has become a respected artist his first novel hero of the underworld was published in 1999 and his autobiography a sense of freedom was made into an award winning film hugh collins was jailed for life in 1977 for the murder of william mooney in glasgow and in his first year in barlinnie prison stabbed three prison officers earning him an extra seven year sentence but after being transferred to the same unit that boyle attended he learned to sculpt and developed an interest in art he later published autobiography of a murderer a frank account of glasgow s criminal culture in the 1960s which received critical praise and lord archer doesn t seem to have had trouble continuing to write the books that have made him millions while in jail he recently signed a three book deal with macmillan publishers worth a reported 10 million and is no doubt scribbling away as we speak so why is it that men like collins bronson and boyle who can be so destructive towards society on the outside can become so creative once stuck on the inside steve richards bronson s publisher has published many books about criminal figures and believes the roots of this phenomenon are both pragmatic and profound he says prison is sometimes the first time some criminals will ever have known a stable environment and this can be the first time they have the chance to focus on their creative skills it may also be the first time that they have really had the chance of an education if their early years have been hard it could be the first time anyone has offered them the chance to explore their creative talents however richards believes the reasons are also deeper than that he says once they are behind bars the cold light of day hits them and they examine the very essence of who they are they ask themselves am i a man who wants to be remembered for violence or am i a man who can contribute to society who can be remembered for something good bronson who was born michael gordon peterson but changed his name to that of the hollywood star of the death wish films has so far been remembered mainly for things bad he was originally jailed for seven years for armed robbery in 1974 and has had a series of sentences added to his original term over the years as a result of attacking people in prison in 2000 he was jailed for life after being convicted of holding a teacher hostage for nearly two days during a jail siege standing five feet ten and a half inches tall and weighing 210lbs he is renowned for his strength he has bent metal cell doors with his bare hands and does up to 3 000 yes 3 000 press ups a day as he puts it i can hit a man 20 times in four seconds i can push 132 press ups in 60 seconds but judging by our current obsession with health and exercise solitary fitness might be the book which will see bronson s face sitting on every coffee table in the land he might be the man to give us the dream body which so many so called fitness gurus promise but fail to motivate us into because bronson has learned to use words as powerfully as he can use his fists all this crap about high protein drinks pills diets it s just a load of bollocks and a multi million pound racket he writes in what can only be described as a refreshingly honest style we can all be fat lazy bastards it s our choice i m sick of hearing and reading about excuses if you stuff your face with shit you become shit that s logical to me as motivational mantras go that might be just the kick up the er backside we all needed solitary fitness by charles bronson is published by mirage publishing and will be available in bookstores from october at 7 99 yahoo groups sponsor 4 dvds free s p join now http us click yahoo com pt6ybb nxieaa mg3haa 7gsolb tm to unsubscribe from this group send an email to forteana unsubscribe egroups com your use of yahoo groups is subject to http docs yahoo com info terms ,1
2093,ananova dracula theme park could be switched to bucharest a controversial scheme to build a dracula theme park in romania could be switched away from transylvania consultants pricewaterhousecoopers is now recommending that it be built in bucharest instead it comes after prince charles led international protests against the original proposals to build it in the medieval town of sigishoara pricewaterhousecoopers name bucharest originally believed to be an outsider in the race to host the park as the most profitable location for the project but that has angered residents in sigishoara where vlad the impaler the inspiration for dracula was born they are counting on the park to boost the local economy evenimentul zilei reports that sigishoara was placed behind the capital with the black sea port of constanta third choice dorin danesan mayor of sigishoara said the pre feasibility report from pwc shows that the park would attract more tourists if it was located in bucharest but i still think that sigishoara is the best location for it the park would include hotels a dracula roller coaster catacombs a ghost train and a house of horrors as well as vampire dungeons located around a reconstruction of dracula s castle and an artificial lake the project has also been objected to by the world heritage organisation unesco fearing sigishoara might be spoilt pricewaterhousecoopers is to present its final report on the project on october 15 story filed 13 16 tuesday 8th october 2002 yahoo groups sponsor plan to sell a home http us click yahoo com j2snna y leaa mvfiaa 7gsolb tm to unsubscribe from this group send an email to forteana unsubscribe egroups com your use of yahoo groups is subject to http docs yahoo com info terms ,1
2189,url http www newsisfree com click 6 8572779 215 date 2002 10 05t03 05 36 01 00 when a florida journalist was killed by anthrax sent to him by letter it set off a wave of copycat hoaxers jon ronson tracks them down quizzes 1 crossword 2 interactive guides 3 steve bell 4 weblog 5 other news and comment home office set to rewrite geneva refugee agreement 6 1 http www newsisfree com quiz 0 7476 349695 00 html 2 http www newsisfree com crossword 0 4406 180778 00 html 3 http www newsisfree com interactive 0 2759 192055 00 html 4 http www newsisfree com cartoons 0 7371 337484 00 html 5 http www newsisfree com weblog 0 6798 517233 00 html 6 http www newsisfree com refugees in britain story 0 2763 805011 00 html ,1
1907,matthias haase wrote the bytecode interpreter is disabled on rh8 defined at line 3 in the specfile of the srpm right you are the srpm includes a patch to enable it but then the specfile defaults to not applying that patch i saw the former but missed the later egad what a convoluted maze sorry for the misinformation rpm list mailing list http lists freshrpms net mailman listinfo rpm list ,1
319, free info table bordercolor ffa025 cellspacing 0 cellpadding 0 width 680 align center bgcolor f08800 border 2 table bordercolor 000000 cellspacing 0 cellpadding 0 width 660 align center border 1 td valign top nowrap bordercolor ffa025 width 350 background http 62 232 161 231 freeinfo images leftside jpg a name top free the insider stock market report 2400 value font color ffffff size 2 get the latest competitive intelligence insider knowledge and deal sourcing contacts to stay ahead amp succeed in this supercharged market table bordercolor 000000 cellspacing 0 cellpadding 0 width 388 border 1 free 3 month subscription subscribed to by over 200 investment bankers venture capitalists fund managers deal makers and public company ceo amp cfo s world market overviews and updates quot first seen quot analyst reports investment alerts portfolio strategies for the 21st century annual offshore jurisdiction rankings report get the information the professionals profit from font face arial helvetica sans serif fill out the form for nbsp free subscription font face arial helvetica sans serif no credit card needed sorry to see you go but to unsubscribe from our newsletter nbsp complete the following email address nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp nbsp please remember you must be 18 years of age or older your nbsp first nbsp name your nbsp last nbsp name street nbsp address city nbsp nbsp nbsp font colo r ffffff size 3 face arial postal nbsp nbsp zip nbsp code country selectalbaniaalgeriaamerican samoaandorraangolaanguillaantarcticaantigua amp barbudaargentinaarmeniaaruba option value a u australiaaustriaazerbaijanbahamasbahrainbangladeshbarbadosbelarusbelgiumbelizebeninbermudabhutanboliviabosniabotswanabouvet islandbrazilbritish ocean territorybritish virgin islesbruneibulgariaburkina fasoburmaburundicambodiacamerooncape verdecayman islandscentral african rep chadchilechinachristmas islandcocos islandsc olombiacomoroscongocook islandscosta ricacroatiacyprusczech republicdenmarkdjiboutidominicadominican republiceast timorecuadoregyptel salvadorequatorial guineaeritreaestoniaethiopiafalkland islandsfaroe islandsfijifinlandfrancefrench guianafrench polynesiafrench southerngabongambiageorgiagermanyghanagibraltargreecegreenlan dgrenadaguadeloupeguatemalaguineaguinea bissauguyanahaitiheard amp mcdonald isleshondurashong konghungaryicelandindiaindonesiairelandisraelitalyivory coastjamaicajapanjordankazakhstankenyakiribatikorea southkuwaitkyrgyzstanlaoslatvialebanonlesotholiberialiechtensteinlithuanialuxembourgmacau option val ue mk macedoniamadagascarmalawimalaysiamaldivesmalimaltamarshall islandsmartiniquemauritaniamauritiusmayottemexicomicronesiamoldovamonacomongoliamontserratmoroccomozambiquenamibianaurunepalnetherlandsnetherlands antillesnew caledonianew zealandnicaraguanigernigerianiuenorfolk islandnorthern mariana islandsnorwayomanpakis tanpalaupanamapapua new guineaparaguayperuphilippinespitcairn islandpolandportugalpuerto ricoqatarreunionromaniarussiarwandas georgia amp s sandwich islessaint kitts amp amp nevissaint luciasaint vincentsamoasan marinosao tome and principesaudi arabiasenegalseychellessierra leonesingaporeslovakiasloveniasomaliasouth africaspainsri lankas t helenast pierre and miquelonsurinamesvalbardswazilandswedenswitzerlandtaiwantajikistantanzaniathailandtogotokelautongatrinidad and tobagotunisiaturkeyturkmenistanturks and caicos islandstuvaluu s minor outlying islandsugandaukraineunited arab emiratesunited kingdomuruguayuzbekistanvanuatuvatican cityvenezuelavietnamvirgin islandswallis and futuna islandsw estern saharayemenyugoslavia former zairezambiazimbabwetelephone mobile nbsp nbsp work fax cente r email nbsp address required fields nbsp nbsp v ,0
440,on mon 2 sep 2002 richard kimber wrote on mon 2 sep 2002 13 20 46 0700 pdt bart schaefer wrote if you re using fetchmail mda spamassassin or the equivlent then this change means your current setup will no longer work oh well i guess there are other anti spam options out there well a you don t have to upgrade and b what you are doing has never been safe in the first place because spamassassin 2 31 and before doesn t do any kind of file locking while it writes to the mailbox and doesn t promise to return the proper failure code on disk full conditions etc if you re still willing to live with b all you need is a little shell script to run spamassassin bin sh call this file spamassassin wrapper and chmod x it echo from 1 date sed e 1 from d spamassassin echo mail and then use fetchmail mda spamassassin wrapper f and you should be all set this sf net email is sponsored by osdn tired of that same old cell phone get a new here for free https www inphonic com r asp r sourceforge1 refcode1 vs3390 spamassassin talk mailing list spamassassin talk lists sourceforge net https lists sourceforge net lists listinfo spamassassin talk ,1
187,click here hwawrlgiooooqvjoii ,0
1595,reza b far ebuilt wrote problems why do most computer scientists insist on solving the same problems over and over again when there are some many more important and interesting problems high level to be solved amen doing it in an unecessarily harder way does not make you more of a man or less of a kiddie joe the combatant state is your father and your mother your only protector the totality of your interests no discipline can be stern enough for the man who denies that by word or deed ,1
1150,on thu feb 07 2002 at 12 29 14am 0200 peter peltonen wrote about apt conf there are these lines rpm leave list empty to disable allowedduppkgs kernel kernel smp kernel enterprise holdpkgs kernel source kernel headers how do i tell apt hold all kernel packages can i use syntax like kernel and i don t quite understand what the part kernel means you could read about regular expressions kernel matches kernel and nothimg more kerne kernel smp and kernel enterprise are the kernel packages you might be running in a rh system packages like kernel headers kernel boot and kernel doc aren t matched if it just said kernel it would match all those packages you were good with that recorder nokkahuilu soitit hyvin sit mankkaa suomennos men behaving badly rpm list mailing list http lists freshrpms net mailman listinfo rpm list ,1
2441,url http www askbjoernhansen com archives 2002 09 20 html date 2002 09 20t17 10 35 08 00 yesterday viridiana came to my place and dragged me out to look at the sky it was beautiful odd colors and light obviously we wondered what it was today jim explains it it was a rocket test from the vandenburg air force base very neat it was a bit too blurred out when i saw it and there was too much street light to make a good photo so i am happy to have found the photo from nasa ,1
